baseFare,reservationCharge,superfastCharge,fuelAmount,totalConcession,tatkalFare,serviceTax,otherCharge,cateringCharge,dynamicFare,totalFare,availability,trainNumber,timeStamp,fromStnCode,toStnCode,classCode,distance,duration
1053,40,45,0.0,0,0,57.0,0,0,0,1195,"[{'date': '6-11-2023', 'status': 'GNWL155/WL106'}, {'date': '13-11-2023', 'status': 'GNWL61/WL31'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0139'}]",2131,2023-10-30 03:50:22.885899,MMR,PPI,3A,558,598.0
400,20,30,0.0,0,0,0.0,0,0,0,450,"[{'date': '6-11-2023', 'status': 'GNWL254/WL149'}, {'date': '13-11-2023', 'status': 'GNWL167/WL109'}, {'date': '20-11-2023', 'status': 'GNWL66/WL49'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0117'}]",2131,2023-10-30 03:50:22.885899,MMR,PPI,SL,558,598.0
1681,50,45,0.0,0,0,89.0,0,0,0,1865,"[{'date': '6-11-2023', 'status': 'GNWL66/WL52'}, {'date': '13-11-2023', 'status': 'GNWL20/WL19'}, {'date': '20-11-2023', 'status': 'GNWL13/WL12'}, {'date': '27-11-2023', 'status': 'GNWL11/WL5'}]",2131,2023-10-30 03:50:22.885899,MMR,NU,2A,652,668.0
1172,40,45,0.0,0,0,63.0,0,0,0,1320,"[{'date': '6-11-2023', 'status': 'GNWL155/WL106'}, {'date': '13-11-2023', 'status': 'GNWL61/WL31'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0139'}]",2131,2023-10-30 03:50:22.885899,MMR,NU,3A,652,668.0
450,20,30,0.0,0,0,0.0,0,0,0,500,"[{'date': '6-11-2023', 'status': 'GNWL254/WL149'}, {'date': '13-11-2023', 'status': 'GNWL167/WL109'}, {'date': '20-11-2023', 'status': 'GNWL66/WL49'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0117'}]",2131,2023-10-30 03:50:22.885899,MMR,NU,SL,652,668.0
1809,50,45,0.0,0,0,96.0,0,0,0,2000,"[{'date': '6-11-2023', 'status': 'GNWL66/WL52'}, {'date': '13-11-2023', 'status': 'GNWL20/WL19'}, {'date': '20-11-2023', 'status': 'GNWL13/WL12'}, {'date': '27-11-2023', 'status': 'GNWL11/WL5'}]",2131,2023-10-30 03:50:22.885899,MMR,MML,2A,732,738.0
1277,40,45,0.0,0,0,68.0,0,0,0,1430,"[{'date': '6-11-2023', 'status': 'GNWL155/WL106'}, {'date': '13-11-2023', 'status': 'GNWL61/WL31'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0139'}]",2131,2023-10-30 03:50:22.885899,MMR,MML,3A,732,738.0
490,20,30,0.0,0,0,0.0,0,0,0,540,"[{'date': '6-11-2023', 'status': 'GNWL254/WL149'}, {'date': '13-11-2023', 'status': 'GNWL167/WL109'}, {'date': '20-11-2023', 'status': 'GNWL66/WL49'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0117'}]",2131,2023-10-30 03:50:22.885899,MMR,MML,SL,732,738.0
1809,50,45,0.0,0,0,96.0,0,0,0,2000,"[{'date': '6-11-2023', 'status': 'GNWL66/WL52'}, {'date': '13-11-2023', 'status': 'GNWL20/WL19'}, {'date': '20-11-2023', 'status': 'GNWL13/WL12'}, {'date': '27-11-2023', 'status': 'GNWL11/WL5'}]",2131,2023-10-30 03:50:22.885899,MMR,JBP,2A,736,760.0
1277,40,45,0.0,0,0,68.0,0,0,0,1430,"[{'date': '6-11-2023', 'status': 'GNWL155/WL106'}, {'date': '13-11-2023', 'status': 'GNWL61/WL31'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0139'}]",2131,2023-10-30 03:50:22.885899,MMR,JBP,3A,736,760.0
490,20,30,0.0,0,0,0.0,0,0,0,540,"[{'date': '6-11-2023', 'status': 'GNWL254/WL149'}, {'date': '13-11-2023', 'status': 'GNWL167/WL109'}, {'date': '20-11-2023', 'status': 'GNWL66/WL49'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0117'}]",2131,2023-10-30 03:50:22.885899,MMR,JBP,SL,736,760.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0002'}]",2131,2023-10-30 03:50:22.885899,BSL,HD,2A,231,280.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0024'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0023'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0012'}]",2131,2023-10-30 03:50:22.885899,BSL,HD,3A,231,280.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0066'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0030'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0036'}]",2131,2023-10-30 03:50:22.885899,BSL,HD,SL,231,280.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0002'}]",2131,2023-10-30 03:50:22.885899,BSL,ET,2A,307,375.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0022'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0023'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0012'}]",2131,2023-10-30 03:50:22.885899,BSL,ET,3A,307,375.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0066'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0029'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0036'}]",2131,2023-10-30 03:50:22.885899,BSL,ET,SL,307,375.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0002'}]",2131,2023-10-30 03:50:22.885899,BSL,PPI,2A,374,453.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0022'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0023'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0012'}]",2131,2023-10-30 03:50:22.885899,BSL,PPI,3A,374,453.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0066'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0029'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0036'}]",2131,2023-10-30 03:50:22.885899,BSL,PPI,SL,374,453.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0002'}]",2131,2023-10-30 03:50:22.885899,BSL,NU,2A,468,523.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0022'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0023'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0012'}]",2131,2023-10-30 03:50:22.885899,BSL,NU,3A,468,523.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0066'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0029'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0036'}]",2131,2023-10-30 03:50:22.885899,BSL,NU,SL,468,523.0
1476,50,45,0.0,0,0,79.0,0,0,0,1650,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0002'}]",2131,2023-10-30 03:50:22.885899,BSL,MML,2A,548,593.0
1048,40,45,0.0,0,0,57.0,0,0,0,1190,"[{'date': '6-11-2023', 'status': 'RLWL1/WL1'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0022'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0023'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0012'}]",2131,2023-10-30 03:50:22.885899,BSL,MML,3A,548,593.0
395,20,30,0.0,0,0,0.0,0,0,0,445,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0066'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0029'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0036'}]",2131,2023-10-30 03:50:22.885899,BSL,MML,SL,548,593.0
1495,50,45,0.0,0,0,80.0,0,0,0,1670,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0001'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0002'}]",2131,2023-10-30 03:50:22.885899,BSL,JBP,2A,552,615.0
1053,40,45,0.0,0,0,57.0,0,0,0,1195,"[{'date': '6-11-2023', 'status': 'RLWL1/WL1'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0022'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0023'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0012'}]",2131,2023-10-30 03:50:22.885899,BSL,JBP,3A,552,615.0
400,20,30,0.0,0,0,0.0,0,0,0,450,"[{'date': '6-11-2023', 'status': 'AVAILABLE-0021'}, {'date': '13-11-2023', 'status': 'AVAILABLE-0066'}, {'date': '20-11-2023', 'status': 'AVAILABLE-0029'}, {'date': '27-11-2023', 'status': 'AVAILABLE-0036'}]",2131,2023-10-30 03:50:22.885899,BSL,JBP,SL,552,615.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0004'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0001'}]",2132,2023-10-30 03:52:19.833978,JBP,MML,2A,4,6.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0143'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0227'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0059'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0035'}]",2132,2023-10-30 03:52:19.833978,JBP,MML,3A,4,6.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0253'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0444'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0235'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0207'}]",2132,2023-10-30 03:52:19.833978,JBP,MML,SL,4,6.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0004'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0001'}]",2132,2023-10-30 03:52:19.833978,JBP,NU,2A,85,75.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0143'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0227'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0059'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0035'}]",2132,2023-10-30 03:52:19.833978,JBP,NU,3A,85,75.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0253'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0444'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0235'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0207'}]",2132,2023-10-30 03:52:19.833978,JBP,NU,SL,85,75.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0004'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,PPI,2A,178,138.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0141'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0226'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0030'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0021'}]",2132,2023-10-30 03:52:19.833978,JBP,PPI,3A,178,138.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0240'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0444'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0201'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0188'}]",2132,2023-10-30 03:52:19.833978,JBP,PPI,SL,178,138.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0004'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,ET,2A,246,220.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0133'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0226'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0024'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0017'}]",2132,2023-10-30 03:52:19.833978,JBP,ET,3A,246,220.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0238'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0440'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0186'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0177'}]",2132,2023-10-30 03:52:19.833978,JBP,ET,SL,246,220.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0003'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,HD,2A,321,282.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0128'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0226'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0017'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0001'}]",2132,2023-10-30 03:52:19.833978,JBP,HD,3A,321,282.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0226'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0440'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0148'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0084'}]",2132,2023-10-30 03:52:19.833978,JBP,HD,SL,321,282.0
1495,50,45,0.0,0,0,80.0,0,0,0,1670,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,BSL,2A,553,470.0
1053,40,45,0.0,0,0,57.0,0,0,0,1195,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0118'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0226'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0002'}, {'date': '26-11-2023', 'status': 'GNWL79/WL62'}]",2132,2023-10-30 03:52:19.833978,JBP,BSL,3A,553,470.0
400,20,30,0.0,0,0,0.0,0,0,0,450,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0221'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0440'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0122'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0068'}]",2132,2023-10-30 03:52:19.833978,JBP,BSL,SL,553,470.0
1809,50,45,0.0,0,0,96.0,0,0,0,2000,"[{'date': '5-11-2023', 'status': 'GNWL12/RAC4'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,MMR,2A,737,630.0
1277,40,45,0.0,0,0,68.0,0,0,0,1430,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0111'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0222'}, {'date': '19-11-2023', 'status': 'GNWL186/WL153'}, {'date': '26-11-2023', 'status': 'GNWL79/WL62'}]",2132,2023-10-30 03:52:19.833978,JBP,MMR,3A,737,630.0
490,20,30,0.0,0,0,0.0,0,0,0,540,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0205'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0429'}, {'date': '19-11-2023', 'status': 'GNWL187/WL135'}, {'date': '26-11-2023', 'status': 'RAC 126/RAC 107'}]",2132,2023-10-30 03:52:19.833978,JBP,MMR,SL,737,630.0
1862,50,45,0.0,0,0,98.0,0,0,0,2055,"[{'date': '5-11-2023', 'status': 'GNWL12/RAC4'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,KPG,2A,778,692.0
1319,40,45,0.0,0,0,71.0,0,0,0,1475,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0111'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0222'}, {'date': '19-11-2023', 'status': 'GNWL186/WL153'}, {'date': '26-11-2023', 'status': 'GNWL79/WL62'}]",2132,2023-10-30 03:52:19.833978,JBP,KPG,3A,778,692.0
505,20,30,0.0,0,0,0.0,0,0,0,555,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0205'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0429'}, {'date': '19-11-2023', 'status': 'GNWL187/WL135'}, {'date': '26-11-2023', 'status': 'RAC 126/RAC 107'}]",2132,2023-10-30 03:52:19.833978,JBP,KPG,SL,778,692.0
1919,50,45,0.0,0,0,101.0,0,0,0,2115,"[{'date': '5-11-2023', 'status': 'GNWL12/RAC4'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,BAP,2A,822,743.0
1377,40,45,0.0,0,0,73.0,0,0,0,1535,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0111'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0222'}, {'date': '19-11-2023', 'status': 'GNWL186/WL153'}, {'date': '26-11-2023', 'status': 'GNWL79/WL62'}]",2132,2023-10-30 03:52:19.833978,JBP,BAP,3A,822,743.0
530,20,30,0.0,0,0,0.0,0,0,0,580,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0205'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0429'}, {'date': '19-11-2023', 'status': 'GNWL187/WL135'}, {'date': '26-11-2023', 'status': 'RAC 126/RAC 107'}]",2132,2023-10-30 03:52:19.833978,JBP,BAP,SL,822,743.0
1995,50,45,0.0,0,0,105.0,0,0,0,2195,"[{'date': '5-11-2023', 'status': 'GNWL12/RAC4'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,ANG,2A,889,800.0
1438,40,45,0.0,0,0,77.0,0,0,0,1600,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0111'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0222'}, {'date': '19-11-2023', 'status': 'GNWL186/WL153'}, {'date': '26-11-2023', 'status': 'GNWL79/WL62'}]",2132,2023-10-30 03:52:19.833978,JBP,ANG,3A,889,800.0
555,20,30,0.0,0,0,0.0,0,0,0,605,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0205'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0429'}, {'date': '19-11-2023', 'status': 'GNWL187/WL135'}, {'date': '26-11-2023', 'status': 'RAC 126/RAC 107'}]",2132,2023-10-30 03:52:19.833978,JBP,ANG,SL,889,800.0
2100,50,45,0.0,0,0,110.0,0,0,0,2305,"[{'date': '5-11-2023', 'status': 'GNWL12/RAC4'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,DDCC,2A,971,898.0
1529,40,45,0.0,0,0,81.0,0,0,0,1695,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0111'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0222'}, {'date': '19-11-2023', 'status': 'GNWL186/WL153'}, {'date': '26-11-2023', 'status': 'GNWL79/WL62'}]",2132,2023-10-30 03:52:19.833978,JBP,DDCC,3A,971,898.0
595,20,30,0.0,0,0,0.0,0,0,0,645,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0205'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0429'}, {'date': '19-11-2023', 'status': 'GNWL187/WL135'}, {'date': '26-11-2023', 'status': 'RAC 126/RAC 107'}]",2132,2023-10-30 03:52:19.833978,JBP,DDCC,SL,971,898.0
2176,50,45,0.0,0,0,114.0,0,0,0,2385,"[{'date': '5-11-2023', 'status': 'GNWL12/RAC4'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,JBP,PUNE,2A,1044,995.0
1581,40,45,0.0,0,0,84.0,0,0,0,1750,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0111'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0222'}, {'date': '19-11-2023', 'status': 'GNWL186/WL153'}, {'date': '26-11-2023', 'status': 'GNWL79/WL62'}]",2132,2023-10-30 03:52:19.833978,JBP,PUNE,3A,1044,995.0
620,20,30,0.0,0,0,0.0,0,0,0,670,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0205'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0429'}, {'date': '19-11-2023', 'status': 'GNWL187/WL135'}, {'date': '26-11-2023', 'status': 'RAC 126/RAC 107'}]",2132,2023-10-30 03:52:19.833978,JBP,PUNE,SL,1044,995.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0004'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0001'}]",2132,2023-10-30 03:52:19.833978,MML,NU,2A,81,69.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0143'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0227'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0059'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0035'}]",2132,2023-10-30 03:52:19.833978,MML,NU,3A,81,69.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0253'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0444'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0235'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0207'}]",2132,2023-10-30 03:52:19.833978,MML,NU,SL,81,69.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0004'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,MML,PPI,2A,174,132.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0141'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0226'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0030'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0021'}]",2132,2023-10-30 03:52:19.833978,MML,PPI,3A,174,132.0
365,20,30,0.0,0,0,0.0,0,0,0,415,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0240'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0444'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0201'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0188'}]",2132,2023-10-30 03:52:19.833978,MML,PPI,SL,174,132.0
1324,50,45,0.0,0,0,71.0,0,0,0,1490,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0004'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0019'}, {'date': '19-11-2023', 'status': 'GNWL86/WL81'}, {'date': '26-11-2023', 'status': 'GNWL33/WL24'}]",2132,2023-10-30 03:52:19.833978,MML,ET,2A,242,214.0
962,40,45,0.0,0,0,53.0,0,0,0,1100,"[{'date': '5-11-2023', 'status': 'AVAILABLE-0133'}, {'date': '12-11-2023', 'status': 'AVAILABLE-0226'}, {'date': '19-11-2023', 'status': 'AVAILABLE-0024'}, {'date': '26-11-2023', 'status': 'AVAILABLE-0017'}]",2132,2023-10-30 03:52:19.833978,MML,ET,3A,242,214.0
